,CUSTOMER_ID,ANCHOR_CUTOFF,NEXT_ANCHOR_CUTOFF,SALES_OFFICE_DESCRIPTION,DISTRIBUTION_MODE_DESCRIPTION,COLD_DRINK_CHANNEL_DESCRIPTION,CUSTOMER_SUB_TRADE_CHANNEL_DESCRIPTION,DEVICE_CATEGORY,DEVICE_MOBILE_BRAND_NAME,DEVICE_OPERATING_SYSTEM,ORDER_QUANTITY,ORDER_TYPE,PLANT_ID,WINDOW_FREQUENCY,SHIPPING_CONDITION_TIME,total_adds,total_removes,has_order,is_abandoned,total_profit,total_volume,PACK_TYPE_DESC,TRADE_MARK_DESC,FLAVOUR_DESC,BEV_CAT_DESC,PACK_SIZE_OZ
10225,501362695,2025-02-11 15:00:00,2025-02-25 15:00:00,"Denver, CO",OFS,Hot Beverage,Liquor Store,desktop,Microsoft,Windows,,,G236,14,24hrs,320.0,0.0,0,1,9806.340000000006,842.0,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,12.0
10226,501140154,2025-03-03 16:00:00,2025-03-10 16:00:00,"Arlington, WA",OFS,Restaurant,Restaurant,desktop,Google,Windows,,,G294,7,24hrs,0.0,0.0,0,0,3847.7400000000043,718.0,Aluminum Can,Fizz Factory,Vanilla Latte,CORE SPARKLING,12.0
10227,501490336,2025-03-07 16:00:00,2025-04-04 16:00:00,,,,,,,,6.0,CALL CENTER,G294,28,24hrs,0.0,0.0,1,0,1188.6900000000003,69.0,Glass Bottle  - Contour,Oliver Originals,Vanilla Latte,CORE SPARKLING,0.0
10228,500616833,2025-03-28 16:00:00,2025-04-25 16:00:00,,,,,,,,2.0,CALL CENTER,G294,28,24hrs,0.0,0.0,1,0,264.63,8.0,Bag-In-Box,Fizz Factory,Tangerine,OTHER NONALCOHOLIC BEVERAGES,0.0
10229,600255378,2025-01-21 13:30:00,2025-02-18 13:30:00,,,,,,,,,,G267,28,24hrs,0.0,0.0,0,0,1695.47,81.0,Plastic Bottle - Other,Oliver Originals,Vanilla Latte,CORE SPARKLING,20.0
10230,501700289,2025-02-25 10:30:00,2025-03-25 10:30:00,,,,,,,,4.0,MYCOKE360,G262,28,24hrs,0.0,0.0,1,0,1048.2399999999998,61.0,Glass Bottle  - Other,Grandma's Pantry,Vanilla Latte,CORE SPARKLING,0.0
10231,501488556,2024-06-17 11:00:00,2024-06-24 11:00:00,,,,,,,,,,G291,7,24hrs,0.0,0.0,0,0,5242.27,290.0,Plastic Bottle - Contour,Fizz Factory,Vanilla Latte,CORE SPARKLING,20.0
10232,501455016,2024-11-29 18:00:00,2024-12-13 18:00:00,,,,,,,,,,G111,14,72hrs,0.0,0.0,0,0,1261.37,20.0,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,640.0
10233,501213803,2025-01-20 14:00:00,2025-02-17 14:00:00,,,,,,,,4.0,SALES REP,G293,28,24hrs,0.0,0.0,1,0,3888.02,380.66700000000003,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,0.0
10234,500833627,2024-11-22 18:00:00,2024-11-29 18:00:00,"Draper, UT",Sideload,Restaurant,Dining,desktop,Google,Windows,4.0,MYCOKE360,G111,7,72hrs,916.0,0.0,1,0,44098.36000000006,1586.0,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,320.0
10235,501389675,2025-01-20 11:00:00,2025-02-03 11:00:00,"Tucson, AZ",Rapid Delivery,Restaurant,Restaurant,desktop,Google,Windows,5.0,MYCOKE360,G265,14,24hrs,2672.0,0.0,1,0,3852.569999999999,247.0,Glass Bottle  - Other,Grandma's Pantry,Vanilla Latte,CORE SPARKLING,0.0
10236,600080664,2024-12-19 12:00:00,2024-12-26 12:00:00,,,,,,,,4.0,SALES REP,G171,7,24hrs,0.0,0.0,1,0,5534.990000000003,738.0,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,12.0
10237,600080664,2024-12-16 12:00:00,2024-12-23 12:00:00,,,,,,,,3.0,SALES REP,G171,7,24hrs,0.0,0.0,1,0,5534.990000000003,738.0,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,12.0
10238,500449003,2024-07-15 11:00:00,2024-07-22 11:00:00,,,,,,,,10.0,SALES REP,G291,7,24hrs,0.0,0.0,1,0,1167.3000000000002,83.0,Aluminum Can,Fizz Factory,Vanilla Latte,CORE SPARKLING,12.0
10239,600067540,2025-04-15 15:00:00,2025-04-22 15:00:00,"Johnstown, CO",Sideload,Hotel,Motel,desktop,Microsoft,Windows,12.0,MYCOKE360,G235,7,24hrs,5700.0,0.0,1,0,12201.969999999994,1579.0,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,12.0
10240,501689957,2024-07-29 18:00:00,2024-08-05 18:00:00,,,,,,,,,,G111,7,72hrs,0.0,0.0,0,0,2083.5600000000004,88.0,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,12.0
10241,600566195,2025-05-16 11:00:00,2025-05-30 11:00:00,,,,,,,,3.0,MYCOKE360,G223,14,24hrs,0.0,0.0,1,0,818.86,38.0,Bag-In-Box,Fizz Factory,Vanilla Raspberry,CORE SPARKLING,20.0
10242,501729085,2024-10-02 12:00:00,2024-10-09 12:00:00,,,,,,,,,,G171,7,24hrs,0.0,0.0,0,0,2235.570000000001,138.0,Plastic Bottle - Other,Fizz Factory,Vanilla Raspberry,TEA,33.8
10243,600261812,2025-01-21 13:30:00,2025-01-28 13:30:00,,,,,,,,2.0,SALES REP,G267,7,24hrs,0.0,0.0,1,0,1223.0,54.0,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,0.0
10244,501710865,2024-11-20 18:00:00,2024-11-27 18:00:00,,,,,,,,,,G111,7,72hrs,0.0,0.0,0,0,308.71000000000004,10.0,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,640.0
10245,501511534,2024-11-18 10:00:00,2024-11-25 10:00:00,"Ogden, UT",Sideload,Restaurant,Burger Fast Food,desktop,Apple,Macintosh,2.0,MYCOKE360,G121,7,24hrs,3680.0,0.0,1,0,4561.719999999998,164.0,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,640.0
10246,600583705,2025-02-10 15:30:00,2025-02-24 15:30:00,"Wilsonville, OR",OFS,Institution,Education,desktop,Google,Windows,,,G221,14,24hrs,600.0,750.0,0,0,744.1999999999998,71.0,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,12.0
10247,600071105,2024-06-20 15:00:00,2024-07-18 15:00:00,,,,,,,,,,G236,28,24hrs,0.0,0.0,0,0,315.68000000000006,38.0,Plastic Bottle - Other,Fizz Factory,Vanilla Raspberry,ENERGY DRINKS,16.0
10248,500959304,2024-11-21 18:00:00,2024-12-05 18:00:00,,,,,,,,,,G111,14,72hrs,0.0,0.0,0,0,4253.749999999999,110.0,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,640.0
10249,501710865,2024-09-03 18:00:00,2024-09-10 18:00:00,,,,,,,,,,G111,7,72hrs,0.0,0.0,0,0,308.71000000000004,10.0,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,640.0
10250,501414507,2024-08-16 11:30:00,2024-08-23 11:30:00,,,,,,,,5.0,SALES REP,G292,7,24hrs,0.0,0.0,1,0,2041.0900000000001,121.0,Glass Bottle  - Contour,Oliver Originals,Vanilla Latte,CORE SPARKLING,0.0
10251,501695694,2024-08-16 18:00:00,2024-08-23 18:00:00,,,,,,,,,,G111,7,72hrs,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0
10252,501695694,2024-07-19 18:00:00,2024-07-26 18:00:00,,,,,,,,,,G111,7,72hrs,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0
10253,501811942,2025-04-23 15:30:00,2025-05-21 15:30:00,,,,,,,,,,G221,28,24hrs,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0
10254,501754210,2024-11-01 15:30:00,2024-11-08 15:30:00,,,,,,,,,,G221,7,24hrs,0.0,0.0,0,0,47.24,2.0,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,320.0
10255,501665108,2024-11-18 18:00:00,2024-11-25 18:00:00,,,,,,,,,,G111,7,72hrs,0.0,0.0,0,0,356.88,25.0,Bag-In-Box,Fizz Factory,Mango,FRUIT/VEGETABLE STILL DRINKS,10.1
10256,600055375,2024-11-22 18:00:00,2024-12-06 18:00:00,"Draper, UT",Sideload,Attraction,Recreation Center,desktop,Microsoft,Windows,,,G111,14,72hrs,0.0,0.0,0,0,3083.73,82.0,Bag-In-Box,Billy's Lemonade,Mango,CORE SPARKLING,640.0
10257,501734755,2024-10-14 11:00:00,2024-10-21 11:00:00,,,,,,,,,,G291,7,24hrs,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0
10258,501770712,2025-01-06 15:30:00,2025-01-13 15:30:00,,,,,,,,,,G282,7,48hrs,0.0,0.0,0,0,46.879999999999995,4.0,Plastic Bottle - Other,Blueberry Hill,Vanilla Raspberry,PACKAGED WATER (PLAIN & ENRICHED),0.0
10259,600264524,2025-02-03 10:30:00,2025-02-10 10:30:00,,,,,,,,12.0,SALES REP,G262,7,24hrs,0.0,0.0,1,0,26799.71000000004,2663.0,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,0.0
10260,501452511,2025-02-05 15:00:00,2025-02-12 15:00:00,,,,,,,,,,G236,7,24hrs,0.0,0.0,0,0,1962.22,79.0,Plastic Bottle - Contour,Fizz Factory,Vanilla Latte,CORE SPARKLING,20.0
10261,501327108,2024-08-28 12:00:00,2024-09-04 12:00:00,,,,,,,,,,G116,7,24hrs,0.0,0.0,0,0,3467.639999999999,110.0,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,320.0
10262,501784678,2025-04-16 15:30:00,2025-04-23 15:30:00,,,,,,,,,,G282,7,48hrs,0.0,0.0,0,0,156.74,12.0,Glass Bottle  - Contour,Oliver Originals,Vanilla Latte,CORE SPARKLING,8.0
10263,501705370,2025-05-21 11:00:00,2025-06-18 11:00:00,,,,,,,,,,G223,28,24hrs,0.0,0.0,0,0,480.19,44.0,Plastic Bottle - Other,Oliver Originals,Vanilla Latte,CORE SPARKLING,20.0
10264,500450435,2024-07-04 11:00:00,2024-07-11 11:00:00,,,,,,,,1.0,MYCOKE LEGACY,G143,7,24hrs,0.0,0.0,1,0,1059.4000000000003,58.0,Glass Bottle  - Contour,Oliver Originals,Vanilla Latte,CORE SPARKLING,0.0
10265,501700340,2024-07-26 18:00:00,2024-08-02 18:00:00,,,,,,,,,,G111,7,72hrs,0.0,0.0,0,0,210.7,8.0,Bag-In-Box,Fizz Factory,Tangerine,CORE SPARKLING,640.0
10266,500478089,2024-07-22 16:00:00,2024-08-05 16:00:00,,,,,,,,1.0,MYCOKE LEGACY,G294,14,24hrs,0.0,0.0,1,0,589.33,22.0,CO2 Tank,Fizz Factory,Tangerine,OTHER NONALCOHOLIC BEVERAGES,0.0
